id,sex,age,age_group,marital,child,educ,source,smoke,smokenum,op1,Rop2,op3,Rop4,op5,Rop6,Rmast1,mast2,Rmast3,Rmast4,mast5,Rmast6,Rmast7,pn1,pn2,pn3,pn4,pn5,pn6,pn7,pn8,pn9,pn10,pn11,pn12,pn13,pn14,pn15,pn16,pn17,pn18,pn19,pn20,lifsat1,lifsat2,lifsat3,lifsat4,lifsat5,pss1,pss2,pss3,Rpss4,Rpss5,pss6,Rpss7,Rpss8,pss9,pss10,sest1,sest2,Rsest3,sest4,Rsest5,sest6,Rsest7,sest8,Rsest9,Rsest10,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,Rpc1,Rpc2,pc3,pc4,pc5,pc6,Rpc7,pc8,pc9,pc10,Rpc11,pc12,pc13,pc14,Rpc15,Rpc16,pc17,pc18,Moptim,Mmast,Mpcoiss,Mslfest,Mposaff,Mnegaff,Mpstress,Mlifesat
138,0,27,0,1,0,3,1,1,100,5,5,5,5,5,5,4,4,4,4,4,4,1,4,4,3,4,2,5,4,4,5,2,3,3,4,2,4,4,4,4,5,4,5,5,5,5,3,2,2,5,1,2,2,2,3,1,3,4,4,4,4,4,3,2,3,4,3,1,0,1,0,0,0,0,0,0,0,2,4,2,3,5,1,1,2,3,3,1,5,2,1,4,2,2,5,5,3.57142857142857,2.66666666666667,3.5,4.1,3.3,2.3,4.6
184,1,34,1,4,1,5,5,0,0,4,5,4,5,5,5,4,4,4,4,4,2,4,4,5,3,4,1,4,3,4,3,1,4,4,4,2,3,1,5,3,2,2,6,7,6,7,5,2,1,2,1,1,2,2,2,1,2,4,4,4,1,4,4,4,4,4,4,0,1,1,0,1,0,1,1,0,1,3,2,2,4,5,3,3,1,2,2,1,3,2,2,2,2,2,2,4.66666666666667,3.71428571428571,2.38888888888889,3.7,3.7,2.5,1.6,6.2
183,0,35,1,1,0,4,7,0,0,2,2,5,1,2,4,2,4,2,2,2,2,3,2,2,3,1,2,1,1,2,1,1,3,1,1,2,1,1,1,1,2,2,1,1,1,1,1,3,5,4,3,3,3,3,3,4,3,2,3,3,2,3,1,2,3,2,2,0,0,1,1,1,0,1,1,0,0,3,4,3,4,3,2,2,2,4,3,2,1,4,2,4,4,2,3,2.66666666666667,2.42857142857143,2.88888888888889,2.3,1.1,2,3.4,1
144,1,43,1,4,1,2,2,0, ,4,3,3,3,4,3,2,4,3,3,4,1,1,3,5,1,1,5,5,1,4,1,5,5,1,1,1,1,5,1,1,5,5,1,1,2,2,2,4,4,4,4,5,5,5,5,1,5,4,4,4,1,4,3,1,3,2,1,0,1,1,1,0,0,0,0,0,0,3,1,1,1,1,1,1,3,1,3,3,1,4,1,1,1,1,1,3.33333333333333,2.57142857142857,1.61111111111111,2.7,1.6,4.1,4.2,1.6
57,0,50,1,4,1,4,1,0,0,4,3,1,2,4,3,3,4,3,3,3,3,2,1,1,1,3,1,5,3,3,3,1,5,1,1,1,1,1,1,1,1,1,5,5,5,6,6,3,2,3,1,2,1,1,1,3,2,4,4,4,4,4,3,4,3,4,4,0,1,1,0,0,0,1,1,0,1,3,2,5,3,4,2,5,4,3,4,5,3,4,3,5,4,3,3,2.83333333333333,3,3.61111111111111,3.8,2,1.6,1.9,5.4
491,0,57,2,4,0,4,6,1,200,1,3,5,3,1,1,1,4,4,2,2,1,1,3,3,5,1,5,5,2,4,3,1,3,1,3,5,1,4,3,3,5,2,1,1,1,3,1,3,4,4,4,1,3,2,1,3,5,1,4,3,4,3,2,1,1,3,3,1,1,1,0,0,0,0,0,0,0,1,3,4,2,1,2,3,2,3,4,5,4,2,4,4,4,4,5,2.33333333333333,2.14285714285714,3.16666666666667,2.5,2.5,3.7,3,1.4
41,1,37,1,6,1,3,1,0,0,3,3,3,4,3,3,2,3,4,4,4,3,3,3,5,3,1,5,3,3,4,1,5,5,1,2,2,1,5,2,2,4,5,2,2,2,6,2,5,5,5,4,3,2,3,3,5,5,2,2,2,2,3,1,1,1,2,2,1,1,1,1,1,0,0,1,0,0,2,3,2,2,1,2,3,2,2,3,2,2,2,2,1,2,2,3,3.16666666666667,3.28571428571429,2.11111111111111,1.8,1.9,4.3,4,2.8
6,1,41,1,7,1,6,1,0,0,4,3,4,4,4,2,2,4,1,1,2,3,3,3,4,1,2,2,4,2,2,3,4,4,1,2,1,1,2,3,2,2,2,5,4,5,5,2,4,4,4,3,4,5,4,4,5,5,4,4,4,4,4,3,2,4,2,4,0,0,1,1,0,0,1,0,0,1,4,3,5,4,5,2,3,4,4,4,3,3,4,3,4,4,3,4,3.5,2.28571428571429,3.66666666666667,3.5,2.3,2.4,4.2,4.2
157,1,19,0,1,0,3,7,0,0,4,2,4,2,2,3,2,2,2,2,4,1,1,2,5,5,3,4,2,3,2,1,1,3,2,2,5,3,3,2,2,5,3,3,1,2,1,2,5,5,5,3,4,5,3,4,5,5,4,4,1,3,2,2,1,2,1,1,0,1,1,0,0,0,0,1,0,0,2,1,2,2,3,4,1,2,3,3,3,3,1,1,1,1,1,3,2.83333333333333,2,2.05555555555556,2.1,2.2,3.6,4.4,1.8
287,1,25,0,1,0,5,1,0,0,4,4,3,5,5,5,4,4,4,2,4,3,4,4,4,5,1,2,3,2,5,2,1,5,3,3,5,3,2,3,3,5,5,1,1,4,7,7,3,4,5,2,3,3,3,4,1,5,4,4,4,3,4,3,4,4,2,4,1,1,1,1,1,0,1,1,1,1,3,2,2,3,5,3,1,4,4,3,5,5,4,3,4,5,5,5,4.33333333333333,3.57142857142857,3.66666666666667,3.6,2.7,3.9,3.3,4
53,0,23,0,1,0,3,1,0, ,4,1,3,2,2,2,2,3,3,2,3,4,3,4,2,2,2,3,5,1,2,2,2,2,2,1,2,3,2,1,1,1,1,4,4,2,2,5,3,3,4,4,4,4,3,4,5,5,3,3,3,2,2,2,3,3,3,4,0,0,0,0,0,0,0,0,1,0,5,1,3,2,3,2,2,1,3,3,2,3,2,2,2,2,2,1,2.33333333333333,2.85714285714286,2.27777777777778,2.8,2.2,1.9,3.9,3.4
330,1,53,2,4,0,2,6,0,0,3,1,5,1,2,1,1,2,1,1,4,1,1,2,5,1,1,1,4,1,5,1,5,5,1,2,2,1,1,1,3,5,5,7,6,7,2,1,5,5,5,1,5,5,3,3,5,5,4,3,1,3,1,1,1,2,2,2,1,1,1,0,0,0,1,0,0,0,1,2,2,5,5,5,1,5,4,4,1,3,5,5,1,1,5,5,2.16666666666667,1.57142857142857,3.33333333333333,2,1.7,3.5,4.2,4.6
379,1,47,1,4,1,4,1,0,0,5,2,5,4,5,4,3,3,2,2,4,2,4,5,3,3,4,3,5,5,4,5,4,4,5,4,3,5,3,5,3,3,2,6,6,6,7,7,5,3,4,1,3,3,3,2,3,2,4,4,4,4,4,4,2,4,4,4,1,1,1,1,1,0,0,1,0,0,4,4,5,5,5,5,4,2,4,5,5,5,4,4,3,3,3,4,4.16666666666667,2.85714285714286,4.11111111111111,3.8,4.6,3.2,2.9,6.4
59,1,36,1,6,1,2,1,0,0,2,2,3,2,3,2,3,3,3,3,4,3,2,5,4,4,3,4,5,3,4,3,5,3,2,2,4,2,4,2,4,4,4,3,4,4,3,6,3,3,4,3,4,3,4,3,4,3,4,4,3,3,2,3,2,3,2,3,1,1,1,1,1,0,0,1,1,0,4,2,4,2,4,3,3,2,5,4,5,3,3,3,2,2,2,3,2.33333333333333,3,3.11111111111111,2.9,3.1,4,3.4,4
416,0,21,0,1,0,3,1,0, ,3,3,3,3,5,4,3,3,2,2,3,2,2,4,4,4,3,2,5,4,5,2,2,5,4,2,4,4,1,4,4,5,5,4,5,5,5,4,3,4,5,1,3,5,2,2,3,3,4,4,4,3,1,4,4,3,2,2,0,1,0,0,0,0,1,0,0,0,1,1,3,4,2,2,1,3,3,2,2,3,2,2,4,4,4,3,3.5,2.42857142857143,2.55555555555556,3.1,3.6,3.7,3.1,4.6
508,1,26,0,3,1,5,1,0,0,4,4,4,4,4,4,2,2,3,2,3,4,4,5,3,2,4,1,4,3,1,4,1,2,3,4,1,2,1,4,5,1,1,3,4,5,5,3,4,4,4,3,3,2,2,3,5,4,4,4,4,4,4,3,3,4,2,4,1,1,1,0,0,0,1,0,0,0,4,2,2,4,4,2,3,2,3,3,3,4,2,2,4,4,3,3,4,2.85714285714286,3,3.6,3.8,1.4,3.4,4
116,1,48,1,5,1,4,1,0,0,3,3,3,3,4,4,2,3,2,2,3,2,1,4,5,5,4,1,2,3,5,3,5,5,2,3,5,4,2,3,3,5,3,3,5,5,5,1,5,4,5,3,3,5,3,3,2,4,4,4,3,4,2,3,4,3,3,3,1,1,1,1,1,0,0,0,0,0,1,2,3,3,2,2,2,3,4,4,2,2,1,1,1,1,1,2,3.33333333333333,2.14285714285714,2.05555555555556,3.3,3.1,4.1,3.7,3.8
422,1,24,0,1,0,4,1,0, ,3,5,4,4,5,5,2,4,3,3,3,2,1,3,5,4,3,1,4,3,5,4,3,3,2,4,4,3,2,3,4,5,5,6,5,7,5,4,3,3,4,3,2,3,3,2,4,4,4,4,4,4,4,3,3,3,3,4,0,1,1,0,0,0,0,0,0,0,3,3,3,4,4,5,3,3,3,4,3,4,2,3,4,4,4,4,4.33333333333333,2.57142857142857,3.5,3.6,3.3,3.7,3.1,5.4
87,0,25,0,1,0,5,1,0,0,3,3,4,4,4,3,3,3,4,4,3,3,3,3,1,1,2,2,2,2,2,2,1,3,1,1,1,2,2,2,4,1,1,5,6,5,5,4,1,2,3,2,3,2,1,3,2,1,4,4,4,4,4,3,4,4,3,4,0,1,1,0,1,0,0,1,0,0,4,3,3,3,4,5,3,2,4,3,3,3,3,4,4,4,4,5,3.5,3.28571428571429,3.55555555555556,3.8,2.1,1.5,2,5
434,1,47,1,4,1,3,8,0,0,2,1,2,1,4,2,1,2,2,1,3,2,3,2,4,1,1,1,3,1,2,1,2,4,1,2,1,1,1,1,1,3,3,1,1,1,1,1,3,4,4,3,4,3,2,2,4,3,2,2,3,2,3,1,2,2,1,2,1,1,1,1,1,1,1,1,1,0,4,3,3,3,3, ,2,1,1,2,4,4,3,3,2,2,1,3,2,2,2.58823529411765,2,1.4,2.2,3.2,1
264,0,18,0,1,0,3,7,0,0,4,5,5,5,5,5,4,2,4,4,2,2,4,1,5,4,5,1,5,5,5,1,5,5,1,2,4,1,1,1,5,1,1,7,7,5,7,1,5,4,2,2,3,1,1,3,1,4,4,4,3,3,4,2,1,2,1,3,1,1,1,0,1,1,1,0,0,0,5,5,1,5,2,1,2,1,5,5,1,5,5,5,5,5,1,5,4.83333333333333,3.14285714285714,3.55555555555556,2.7,2.7,3.2,2.6,5.4
442,1,24,0,4,0,4,1,1,150,2,1,3,1,1,1,2,2,2,2,2,1,1,3,5,4,1,1,1,2,5,1,3,3,1,2,2,2,1,3,2,4,4,2,2,3,1,3,4,4,5,4,4,3,3,4,5,5,3,3,3,3,2,2,1,2,1,3,1,1,1,1,0,0,1,1,1,0,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1.5,1.71428571428571,1.16666666666667,2.3,1.8,3.2,4.1,2.2
540,0,36,1,4,1,4,8,0,0,3,5,3,5,4,2,3,4,2,4,3,2,3,4,2,1,1,1,3,4,1,3,2,2,1,3,1,1,1,3,4,1,1,5,5,5,7,5,2,1,2,1,2,2,2,1,2,1,4,4,4,3,4,3,2,3,4,4,1,1,1,0,0,0,1,1,0,0,5,2,5,2,5,3,2,4,5,4,5,3,4,3,3,3,3,4,3.66666666666667,3,3.61111111111111,3.5,2.7,1.3,1.6,5.4
470,1,49,1,5,1,2,5,0,0,4,5,4,5,5,4,3,4,4,3,4,4,4,3,3,1,4,1,3,2,1,3,1,2,2,2,1,2,1,2,1,2,1,5,5,5,5,5,2,2,3,2,2,1,2,2,1,1,3,3,4,3,4,3,3,3,4,4,1,1,1,1,1,0,1,1,0,1,4,4,4,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4.5,3.71428571428571,4,3.4,2.4,1.4,1.8,5
252,1,21,0,2,0,5,1,0,0,4,5,3,5,4,5,4,4,4,4,4,4,2,2,1,1,3,1,3,1,4,2,2,3,1,3,1,3,3,2,2,2,2,6,6,6,6,3,2,2,3,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,4,4,0,1,1,1,1,0,1,0,0,0,3,4,5,4,4,3,5,2,3,3,2,4,3,4,4,4,3,3,4.33333333333333,3.71428571428571,3.5,3.9,2.2,2,2.1,5.4
338,1,45,1,5,1,4,1,1,30,2,1,2,1,5,5,2,4,4,4,4,4,3,5,1,1,4,1,5,5,1,5,1,1,5,4,1,4,1,5,4,1,1,1,7,7,7,5,2,2,4,1,2,4,2,2,4,4,4,4,4,1,4,4,4,4,4,4,1,1,1,0,1,1,1,0,0,0,5,3,4,4,4,3,3,4,2,4,2,4,4,3,3,3,3,4,2.66666666666667,3.57142857142857,3.44444444444444,3.7,4.6,1,2.7,5.4
517,0,18,0,1,0,3,3,0,0,3,2,3,4,4,3,2,4,3,1,4,3,3,2,1,1,2,1,3,3,1,2,1,1,1,1,1,3,1,2,2,1,1,3,6,6,5,5,2,3,2,3,4,2,3,3,3,2,4,4,4,4,3,4,3,4,4,4,1,1,1,0,1,0,1,0,0,0,4,3,2,4,4,3,5,4,4,5,3,3,5,4,2,3,2,3,3.16666666666667,2.85714285714286,3.5,3.8,2.1,1,2.7,5
179,1,45,1,5,0,4,7,0,0,2,3,1,3,4,3,4,2,2,3,3,3,3,2,4,4,3,1,2,2,4,2,1,2,1,1,2,1,1,1,1,3,1,6,6,6,6,6,3,3,3,2,3,3,2,2,4,3,3,3,4,3,3,3,2,2,4,4,1,1,1,0,1,0,1,0,1,0,4,4,4,3,3,2,3,3,3,4,4,3,3,2,3,4,4,4,2.66666666666667,2.85714285714286,3.33333333333333,3.1,1.6,2.3,2.8,6
420,0,69,2,4,0,2,6,0, ,4,5,3,3,4,2,3,3,2,2,3,2,2,4,4,4,4,3,4,3,3,3,4,4,1,4,4,2,2,4,4,4,5,6,5,6,3,6,3,4,4,2,2,4,3,3,4,4,4,4,2,3,3,3,2,3,2,3,1,1,1,0,0,1,0,0,0,0,4,3,4,5,4,4,3,3,4,4,2,4,4,5,4,4,2,3,3.5,2.42857142857143,3.66666666666667,2.9,3.3,3.7,3.3,5.2
66,0,59,2,5,0,2, ,0, , ,1,1,1,1,5,2,1,1,1,1,1,1,2,3,2,1,2,1,1,2,2,1,2,1,2,2,1,3,1,3,3,2,6,2,1,2,1,3,3,3,3,4,3,3,4,4,2,3,4,3,2,3,2,2,1,3,4,1,1,1,0,1,0,0,0,0,1,3,5,3,5,2,2,3,4,4,4,2,2,2,2,2,2,3,3,1.8,1.14285714285714,2.94444444444444,2.7,1.5,2.2,3.2,2.4
7,0,33,1,1,0,5,1,0,0,4,5,4,5,5,5,3,3,3,3,4,4,1,5,5,2,5,2,4,3,3,2,3,5,5,5,2,5,1,5,5,5,3,1,1,1,1,1,4,3,4,2,3,3,3,3,3,3,4,4,3,4,4,4,4,1,3,3,1,1,1,1,1,1,0,0,0,0,3,1,3,3,4,3,1,3,2,3,3,3,3,3,3,3,3,3,4.66666666666667,3,2.77777777777778,3.4,4.4,3.1,3.1,1
404,1,24,0,1,0,5,1,0, ,4,5,4,5,5,5,3,4,3,4,3,3,4,5,1,1,4,1,5,5,1,5,1,1,3,3,1,4,1,5,5,1,1,6,7,7,5,6,1,1,2,1,1,1,2,1,1,1,4,4,4,4,4,4,4,4,4,4,0,1,1,1,1,0,1,1,0,1,2,5,5,4,4,4,5,4,4,4,5,4,3,4,4,5,4,4,4.66666666666667,3.42857142857143,4.11111111111111,4,4.4,1,1.2,6.2
331,0,22,0,3,0,2,8,1,150,2,2,2,1,2,1,2,4,4,4,4,3,1,4,1,1,3,2,5,4,2,3,3,2,4,4,2,5,2,5,3,1,1,2,2,3,2,2,3,3,4,4,4,4,2,3,4,3,3,3,3,4,2,2,1,2,1,1,0,1,1,0,0,0,0,0,0,0,4,2,3,4,5,1,2,4,2,2,2,2,2,1,3,5,2,4,1.66666666666667,3.14285714285714,2.77777777777778,2.2,4,1.7,3.4,2.2
336,1,43,1,5,0,5,1,0,0,2,2,3,3,4,4,2,3,2,2,3,4,3,4,3,1,2,2,4,3,3,4,2,2,1,4,1,1,2,2,3,1,1,2,6,4,3,4,4,3,3,3,4,4,4,4,4,4,3,3,4,3,4,3,4,3,3,2,1,1,1,0,0,1,1,1,0,1,3,3,3,3,2,2,5,1,1,3,5,1,2,1,3,5,1,3,3,2.71428571428571,2.61111111111111,3.2,2.8,1.8,3.7,3.8
5,1,48,1,4,0,3,3,0,0,5,5,5,5,5,5,4,4,4,2,4,4,4,4,1,1,5,1,5,4,1,4,1,1,4,4,1,3,1,4,4,1,1,4,6,6,3,3,1,1,1,1,2,1,1,1,2,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,0,1,1,0,0,4,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,3.71428571428571,4.77777777777778,4,4.1,1,1.2,4.4
291,1,30,0,1,0,4,1,1,25,3,3,3,3,4,3,2,3,3,4,3,2,3,4,3,2,4,2,4,5,2,5,3,2,5,4,2,3,2,4,5,4,4,4,5,4,4,3,3,3,4,3,3,4,3,4,4,4,3,4,3,3,3,3,3,3,2,2,1,1,1,1,1,0,0,1,0,0,4,1,1,2,3,2,3,2,3,2,2,2,2,2,2,3,2,2,3.16666666666667,2.85714285714286,2.22222222222222,2.9,4.3,2.6,3.5,4
79,1,46,1,5,1,3,9,0,0,3,1,5,1,4,3,2,4,1,1,4,3,2,3,4,2,1,1,4,5,2,3,4,4,5,4,1,5,1,5,5,5,5,6,6,6,6,6,4,5,5,2,1,5,3,2,5,5,4,4,4,4,3,3,1,3,1,2,1,1,1,1,1,0,1,1,1,0,4,5,5,4,5,3,5,4,5,4,1,2,2,1,5,5,1,3,2.83333333333333,2.42857142857143,3.55555555555556,2.9,4,2.9,3.7,6
342,0,24,0,2,0,5,3,0,0,2,3,3,4,3,4,3,3,2,3,4,1,2,4,5,4,2,3,2,1,4,4,3,4,2,2,4,3,4,1,1,4,1,3,3,2,3,1,3,4,4,3,4,4,3,4,4,3,4,4,3,3,2,3,2,2,2,2,0,0,1,1,0,0,0,0,0,0,2,4,4,3,3,2,2,2,5,4,1,2,4,2,4,4,3,4,3.16666666666667,2.57142857142857,3.05555555555556,2.7,2.2,3.6,3.6,2.4
219,0,63,2,4,0,5,4,0, ,2,5,4,5,5,5,3,3,4,3,3,4,4,5,1,1,3,1,4,4,1,3,1,1,1,3,1,1,1,3,3,1,1,2,6,5,5,2,3,1,1,1,2,2,1,1,2,1,4,4,4,4,4,4,3,4,4,4,1,1,1,0,0,0,1,1,1,1,5,5,5,5,4,3,5,3,5,5,5,3,5,2,5,5,4,5,4.33333333333333,3.42857142857143,4.38888888888889,3.9,3,1,1.5,4
85,1,20,0,1,0,4,6,0,0,3,1,4,2,2,2,1,2,3,3,2,1,2,2,4,3,2,2,3,4,3,2,2,4,2,2,3,2,3,3,2,2,2,1,2,1,1,1,4,4,4,4,5,4,4,4,4,4,2,2,3,2,3,1,3,1,1,1,1,1,1,1,1,0,0,0,0,0,2,3,2,2,2,3,3,4,3,3,2,4,3,3,3,4,3,3,2.33333333333333,2,2.88888888888889,1.9,2.4,2.8,4.1,1.2
11,1,22,0,2,0,5,1,0,0,1,2,1,2,2,2,2,4,2,4,3,2,3,5,4,4,2,2,5,3,4,2,5,4,4,3,5,4,4,3,3,2,2,4,3,3,5,5,4,4,3,4,3,3,4,4,5,3,4,3,3,3,3,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,2,2,3,2,3,2,2,2,2,3,3,3,1,2,2,3,2,2,1.66666666666667,2.85714285714286,2.27777777777778,2.2,3.4,3.6,3.7,4
494,1,21,0,2,0,2,1,0, ,3,4,3,4,3,4,3,3,4,1,4,4,4,4,4,1,1,1,1,4,2,1,1,2,1,2,1,3,1,3,3,1,2,5,3,3,4,4,2,2,3,2,3,1,2,2,2,1,4,4,4,4,4,2,1,2,4,4,1,1,1,1,0,0,0,0,0,1,5,5,2,2,3,5,5,2,2,2,4,2,5,1,3,4,2,2,3.5,3.28571428571429,3.11111111111111,3.3,2.3,1.6,2,3.8
127,1,37,1,4,1,4,8,0,2,4,4,4,5,5,5,4,4,4,1,4,4,4,5,1,1,4,1,5,4,1,5,1,3,3,5,1,5,1,4,5,1,1,6,6,6,6,5,2,1,2,1,1,1,1,1,2,1,4,4,4,4,1,3,4,3,1,4,0,1,1,0,1,0,1,1,0,1,5,3,5,4,5,3,5,4,4,4,5,3,4,3,4,4,3,4,4.5,3.57142857142857,4,3.2,4.5,1.2,1.3,5.8
359,1,39,1,4,1,5,5,0,0,2,2,1,1,2,2,1,2,1,1,2,2,2,2,4,1,1,1,3,5,2,1,3,4,1,1,1,1,1,1,3,1,1,4,3,5,3,1,4,3,3,4,4,3,3,4,4,3,3,3,3,2,3,2,2,1,2,3,0,1,1,1,1,1,1,0,0,0,2,2,2,1,2,2,3,3,3,4,4,3,4,4,4,4,3,3,1.66666666666667,1.57142857142857,2.94444444444444,2.4,1.9,1.9,3.5,3.2
459,0,32,1,3,1,4,1,0,0,3,5,3,4,4,5,4,3,3,4,4,4,3,3,1,1,3,1,3,3,1,4,1,2,3,4,1,3,1,3,4,1,1,5,5,5,5,3,1,1,1,2,2,1,2,2,1,1,4,4,4,4,4,3,4,4,4,4,1,1,1,0,0,0,0,1,0,0,2,2,4,2,3,1,2,2,3,3,4,1,2,1,1,1,1,2,4,3.57142857142857,2.05555555555556,3.9,3.3,1.1,1.4,4.6
301,0,54,2,4,0,5,9,0,0,4,5,4,4,5,2,4,4,4,4,4,4,4,4,1,1,2,1,4,4,1,4,1,1,3,3,1,4,1,5,4,2,1,6,6,7,7,7,1,1,2,1,2,1,1,1,2,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,0,1,1,1,0,1,5,4,1,1,1,2,5,5,4,4,5,1,2,2,1,1,2,2,4,4,2.66666666666667,4,3.7,1.1,1.3,6.6
